 -73.00  286.00 2
 -73.50  285.50 2
 -73.42  287.00 2
 -73.33  288.50 2
 -73.17  290.00 2
 -73.08  291.50 2
 -72.83  292.50 2
 -72.33  293.00 2
 -71.83  293.00 2
 -71.50  292.50 2
 -70.92  292.50 2
 -70.42  292.00 2
 -70.00  291.50 2
 -69.42  291.50 2
 -69.42  292.67 2
 -69.08  293.33 2
 -68.83  292.67 2
 -68.50  293.17 2
 -68.08  293.17 2
 -67.75  292.50 2
 -67.42  292.50 2
 -67.75  291.50 2
 -67.75  290.75 2
 -67.33  290.67 2
 -66.92  291.33 2
 -66.67  292.17 2
 -67.08  292.33 2
 -67.00  293.00 2
 -67.33  293.67 2
 -66.83  293.67 2
 -66.58  294.50 2
 -66.25  294.17 2
 -65.92  295.00 2
 -65.50  296.00 2
 -65.08  296.00 2
 -65.17  297.00 2
 -64.75  297.33 2
 -64.67  298.33 2
 -64.25  298.50 2
 -64.00  299.00 2
 -63.83  300.33 2
 -63.58  301.17 2
 -63.33  302.00 2
 -63.25  302.83 2
 -63.58  303.33 2
 -63.58  302.67 2
 -63.83  301.83 2
 -63.83  302.75 2
 -64.42  302.67 2
 -64.33  301.83 2
 -64.00  301.33 2
 -64.50  301.00 2
 -64.33  300.33 2
 -64.67  299.50 2
 -65.00  298.67 2
 -65.42  298.00 2
 -65.75  297.83 2
 -66.08  297.67 2
 -66.50  297.33 2
 -66.25  296.50 2
 -66.50  296.00 2
 -66.92  296.33 2
 -66.92  295.33 2
 -67.33  294.67 2
 -67.83  294.50 2
 -68.08  295.17 2
 -68.33  294.67 2
 -68.75  295.17 2
 -68.75  296.33 2
 -69.08  297.33 2
 -69.67  297.67 2
 -70.10  298.00 2
 -70.50  297.67 2
 -70.60  299.00 2
 -71.17  299.00 2
 -71.58  299.17 2
 -72.00  298.33 2
 -72.33  299.17 2
 -72.67  299.00 2
 -73.00  300.17 2
 -73.33  299.83 2
 -73.42  298.50 2
 -73.75  299.00 2
 -74.33  299.33 2
 -74.67  298.33 2
 -75.08  298.33 2
 -75.17  297.00 2
 -75.67  297.00 2
 -76.08  296.33 2
 -76.50  294.50 2
 -77.00  292.67 2
 -77.17  295.00 2
 -77.08  297.50 2
 -77.08  300.00 2
 -77.25  302.33 2
 -77.58  304.00 2
 -77.92  306.33 2
 -78.25  308.33 2
 -78.50  310.67 2
 -78.75  312.33 2
 -78.83  316.00 2
 -78.83  319.00 2
 -78.75  321.50 2
 -78.33  323.67 2
 -77.83  325.00 2
 -77.50  326.67 2
 -77.17  328.33 2
 -76.83  330.00 2
 -76.50  331.67 2
 -76.08  333.00 2
 -75.67  334.00 2
 -75.33  336.00 2
 -74.75  336.33 2
 -74.42  337.67 2
 -74.08  339.33 2
 -73.75  340.67 2
 -73.42  342.33 2
 -73.08  343.67 2
 -72.92  345.33 2
 -72.83  346.50 2
 -72.58  347.67 2
 -72.25  348.67 2
 -71.92  348.83 2
 -71.67  348.00 2
 -71.33  347.83 2
 -71.25  348.50 2
 -71.58  349.00 2
 -71.25  349.50 2
 -71.00  350.25 2
 -71.17  351.00 2
 -71.42  351.34 2
 -71.83  351.50 2
 -71.67  352.67 2
 -71.42  352.34 2
 -71.08  352.67 2
 -70.83  352.34 2
 -70.75  353.17 2
 -70.75  354.17 2
 -71.00  354.17 2
 -71.33  354.00 2
 -71.33  355.50 2
 -71.25  357.00 2
 -70.67  357.00 2
 -70.42  356.67 2
 -70.25  357.50 2
 -70.42  358.34 2
 -70.67  359.00 2
 -71.00  358.50 2
 -71.25  359.34 2
 -71.38  360.00 2
 -71.38    0.00 3
 -71.50    0.00 2
 -71.25    1.33 2
 -70.92    2.66 2
 -70.58    3.50 2
 -70.33    4.66 2
 -70.33    6.33 2
 -70.08    7.33 2
 -70.08    8.66 2
 -70.17   10.00 2
 -70.08   11.33 2
 -70.08   12.67 2
 -70.17   14.33 2
 -70.17   15.67 2
 -70.17   17.00 2
 -70.17   18.33 2
 -70.33   20.00 2
 -70.42   21.50 2
 -70.58   23.00 2
 -70.42   24.67 2
 -70.17   25.33 2
 -70.17   27.00 2
 -69.92   28.33 2
 -69.83   30.00 2
 -69.58   31.33 2
 -69.50   32.00 2
 -69.50   33.50 2
 -69.00   33.33 2
 -68.67   33.50 2
 -68.58   34.33 2
 -68.92   35.00 2
 -69.33   36.00 2
 -69.50   37.00 2
 -69.58   38.33 2
 -70.08   38.67 2
 -69.67   39.33 2
 -69.50   39.83 2
 -69.17   39.83 2
 -68.83   40.00 2
 -68.50   41.33 2
 -68.17   42.00 2
 -67.83   43.33 2
 -67.75   44.50 2
 -67.75   46.00 2
 -67.58   47.00 2
 -67.67   48.17 2
 -67.42   48.50 2
 -67.42   49.33 2
 -67.83   49.83 2
 -67.58   50.50 2
 -67.00   50.17 2
 -66.50   50.50 2
 -66.25   51.50 2
 -65.92   52.17 2
 -65.83   53.67 2
 -65.92   55.17 2
 -66.25   56.00 2
 -66.42   57.17 2
 -66.67   57.17 2
 -66.75   56.33 2
 -66.92   57.00 2
 -67.00   58.00 2
 -67.17   59.00 2
 -67.50   59.33 2
 -67.33   60.67 2
 -67.58   61.67 2
 -67.67   62.67 2
 -67.50   63.67 2
 -67.58   65.00 2
 -67.75   66.33 2
 -67.83   67.67 2
 -67.83   68.67 2
 -67.67   69.50 2
 -68.17   69.50 2
 -68.58   70.00 2
 -69.00   70.50 2
 -69.17   69.50 2
 -69.58   69.83 2
 -70.08   69.83 2
 -70.50   70.67 2
 -70.42   71.67 2
 -70.08   71.00 2
 -69.75   72.33 2
 -69.58   73.50 2
 -69.67   74.50 2
 -69.83   75.50 2
 -69.50   76.17 2
 -69.17   77.17 2
 -69.08   78.00 2
 -68.50   78.33 2
 -68.25   79.00 2
 -68.00   80.50 2
 -67.83   81.67 2
 -67.33   82.50 2
 -67.17   83.67 2
 -67.00   85.00 2
 -66.83   86.33 2
 -66.67   87.67 2
 -66.75   88.50 2
 -66.75   89.67 2
 -66.67   91.00 2
 -66.50   92.00 2
 -66.58   93.00 2
 -66.58   94.00 2
 -66.50   95.00 2
 -66.67   96.00 2
 -66.50   97.00 2
 -66.67   97.67 2
 -66.50   98.50 2
 -66.58   99.33 2
 -66.42  100.00 2
 -66.42  100.70 2
 -66.08  101.50 2
 -65.83  102.70 2
 -65.92  104.00 2
 -66.08  105.00 2
 -66.25  106.00 2
 -66.50  107.00 2
 -66.58  108.00 2
